Web Search interest: ebola
Worldwide; May 2014 - May 2015

Interest over time
Week,ebola
2014-05-04 - 2014-05-10,0
2014-05-11 - 2014-05-17,0
2014-05-18 - 2014-05-24,0
2014-05-25 - 2014-05-31,0
2014-06-01 - 2014-06-07,0
2014-06-08 - 2014-06-14,0
2014-06-15 - 2014-06-21,1
2014-06-22 - 2014-06-28,2
2014-06-29 - 2014-07-05,2
2014-07-06 - 2014-07-12,1
2014-07-13 - 2014-07-19,1
2014-07-20 - 2014-07-26,2
2014-07-27 - 2014-08-02,29
2014-08-03 - 2014-08-09,47
2014-08-10 - 2014-08-16,27
2014-08-17 - 2014-08-23,21
2014-08-24 - 2014-08-30,13
2014-08-31 - 2014-09-06,11
2014-09-07 - 2014-09-13,9
2014-09-14 - 2014-09-20,9
2014-09-21 - 2014-09-27,10
2014-09-28 - 2014-10-04,46
2014-10-05 - 2014-10-11,85
2014-10-12 - 2014-10-18,100
2014-10-19 - 2014-10-25,48
2014-10-26 - 2014-11-01,27
2014-11-02 - 2014-11-08,16
2014-11-09 - 2014-11-15,12
2014-11-16 - 2014-11-22,10
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,6
2014-12-07 - 2014-12-13,5
2014-12-14 - 2014-12-20,4
2014-12-21 - 2014-12-27,3
2014-12-28 - 2015-01-03,5
2015-01-04 - 2015-01-10,4
2015-01-11 - 2015-01-17,3
2015-01-18 - 2015-01-24,3
2015-01-25 - 2015-01-31,3
2015-02-01 - 2015-02-07,3
2015-02-08 - 2015-02-14,2
2015-02-15 - 2015-02-21,2
2015-02-22 - 2015-02-28,2
2015-03-01 - 2015-03-07,2
2015-03-08 - 2015-03-14,2
2015-03-15 - 2015-03-21,1
2015-03-22 - 2015-03-28,1
2015-03-29 - 2015-04-04,1
2015-04-05 - 2015-04-11,1
2015-04-12 - 2015-04-18,1
2015-04-19 - 2015-04-25,1
2015-04-26 - 2015-05-02,1
2015-05-03 - 2015-05-09,1
2015-05-10 - 2015-05-16,1
2015-05-17 - 2015-05-23,1
2015-05-24 - 2015-05-30,1


Top regions for ebola
Region,ebola
Sierra Leone,100
Liberia,95
Guinea,29
Gambia,22
Mali,17
Nigeria,16
Burkina Faso,15
Togo,15
Benin,14
Haiti,13
Malawi,12
Niger,12
Ghana,12
Cuba,11
Zambia,10
Saint Lucia,10
Guyana,10
Senegal,10
Cape Verde,10
Belize,9
Côte d’Ivoire,9
Jamaica,9
Zimbabwe,9
Botswana,9
Congo (DRC),8
Namibia,8
Congo (Republic),8
Cameroon,8
Suriname,7
Mozambique,7
Trinidad and Tobago,7
Angola,7
Ethiopia,7
Barbados,7
Gabon,6
United States,5
South Africa,5
Curaçao,5
Rwanda,5
Bahamas,5
Guam,4
Madagascar,4
El Salvador,4
Spain,4
Dominican Republic,4
Panama,4
Puerto Rico,4
Nicaragua,4
Venezuela,4
Kenya,3
Malta,3
Canada,3
Mauritania,3
Fiji,3
Paraguay,3
Nepal,3
Guatemala,3
Honduras,3
Bolivia,3
United Kingdom,3
Mexico,3
Tanzania,3
Australia,3
Uganda,2
Chile,2
Mauritius,2
Sweden,2
Ireland,2
New Zealand,2
Luxembourg,2
Italy,2
Colombia,2
Netherlands,2
Costa Rica,2
Ecuador,2
Réunion,2
Singapore,2
Germany,2
Guadeloupe,2
Switzerland,2
Norway,2
Argentina,2
Brazil,2
Peru,2
Brunei,2
Philippines,2
Finland,2
Martinique,2
Iceland,2
Uruguay,2
Austria,2
Belgium,2
Denmark,2
Estonia,1
Portugal,1
Saint Helena,1
Sri Lanka,1
France,1
Lebanon,1
Myanmar (Burma),1
United Arab Emirates,1
Qatar,1
Czech Republic,1
India,1
Malaysia,1
Cambodia,1
Vietnam,1
Cyprus,1
Hungary,1
Morocco,1
Croatia,1
Slovenia,1
Indonesia,1
Bahrain,1
Romania,1
Macedonia (FYROM),1
Hong Kong,1
Poland,1
Bosnia and Herzegovina,1
Bangladesh,1
Oman,1
Kosovo,1
Slovakia,1
Serbia,1
Tunisia,1
Pakistan,1
Kuwait,1
Bulgaria,1
Latvia,1
Lithuania,1
Algeria,1
Sudan,1


Top cities for ebola
Town/City,ebola
Lagos (Nigeria),100
Washington (United States),39
New York (United States),35
Madrid (Spain),32
Chicago (United States),32
Houston (United States),31
Atlanta (United States),31
Amsterdam (Netherlands),24
Los Angeles (United States),24
London (United Kingdom),22
Barcelona (Spain),22
Toronto (Canada),21
Sucre (Bolivia),20
Mexico City (Mexico),18
Brisbane (Australia),17



Top searches for ebola
ebola virus,100
ebola symptoms,30
ebola news,25
ebola outbreak,25
el ebola,25
what is ebola,20
ebola 2014,15
us ebola,15
ebola africa,15
que es ebola,10
symptoms of ebola,10
ebola sintomas,10
ebola in us,10
texas ebola,5
ebola disease,5
ebola dallas,5
ebola patient,5
who ebola,5
ebola nigeria,5
ebola spread,5
ebola cure,5
ebola usa,5
cdc,5
cdc ebola,5
ebola in africa,5
ebola nurse,5
ebola zombie,5
ebola map,5
ebola virus symptoms,5
ebola update,5
ebola uk,5
liberia,5
noticias ebola,5
ebola españa,5
ebola new york,5
ebola no brasil,5
ebola airborne,5
ebola vaccine,5
ebola india,5
sintomas del ebola,5
ebola in nigeria,5
virus del ebola,5
ebola virus outbreak,5
ebola song,5
ebola wiki,5
ebola pictures,5
ebola sierra leone,5
enfermedad ebola,5
ebola patients,5
ebola en españa,5



Rising searches for ebola
ebola dallas,Breakout
texas ebola,+1,450%
ebola patient,+750%
ebola in us,+500%
us ebola,+400%
ebola nigeria,+250%
symptoms of ebola,+150%
que es ebola,+140%
ebola sintomas,+130%
ebola symptoms,+130%



