Day	searches
1 	0
2 	336.0
3 	146.0
4 	91.0
5 	65.0
6 	51.0
7 	41.0
8 	35.0
9 	30.0
10 	26.0
11 	24.0
12 	21.0
13 	19.0
14 	18.0
15 	16.0
16 	15.0
17 	14.0
18 	13.0
19 	13.0
20 	12.0
21 	11.0
22 	11.0
23 	10.0
24 	10.0
25 	9.0
26 	9.0
27 	9.0
28 	8.0
29 	8.0
30 	8.0
31 	7.0
32 	7.0
33 	7.0
34 	7.0
35 	7.0
36 	6.0
37 	6.0
38 	6.0
39 	6.0
40 	6.0
41 	6.0
42 	5.0
43 	5.0
44 	5.0
45 	5.0
46 	5.0
47 	5.0
48 	5.0
49 	5.0
50 	5.0
51 	5.0
52 	4.0
53 	4.0
54 	4.0
55 	4.0
56 	4.0
57 	4.0
58 	4.0
59 	4.0
60 	4.0
61 	672.0
62 	293.0
63 	182.0
64 	131.0
65 	102.0
66 	83.0
67 	70.0
68 	60.0
69 	53.0
70 	47.0
71 	43.0
72 	39.0
73 	36.0
74 	33.0
75 	31.0
76 	29.0
77 	27.0
78 	25.0
79 	24.0
80 	23.0
81 	22.0
82 	21.0
83 	20.0
84 	19.0
85 	18.0
86 	17.0
87 	17.0
88 	16.0
89 	16.0
90 	15.0
91 	15.0
92 	14.0
93 	14.0
94 	13.0
95 	13.0
96 	12.0
97 	12.0
98 	12.0
99 	12.0
100 	11.0
101 	11.0
102 	11.0
103 	10.0
104 	10.0
105 	10.0
106 	10.0
107 	10.0
108 	9.0
109 	9.0
110 	9.0
111 	9.0
112 	9.0
113 	9.0
114 	8.0
115 	8.0
116 	8.0
117 	8.0
118 	8.0
119 	8.0
120 	8.0
121 	7.0
122 	7.0
123 	7.0
124 	7.0
125 	7.0
126 	7.0
127 	7.0
128 	7.0
129 	7.0
130 	7.0
131 	6.0
132 	6.0
133 	6.0
134 	6.0
135 	6.0
136 	6.0
137 	6.0
138 	6.0
139 	6.0
140 	6.0
141 	6.0
142 	6.0
143 	6.0
144 	6.0
145 	5.0
146 	5.0
147 	5.0
148 	5.0
149 	5.0
150 	5.0
151 	5.0
152 	5.0
153 	5.0
154 	5.0
155 	5.0
156 	5.0
157 	5.0
158 	5.0
159 	5.0
160 	5.0
161 	5.0
162 	5.0
163 	5.0
164 	5.0
165 	5.0
166 	4.0
167 	4.0
168 	4.0
169 	4.0
170 	4.0
171 	4.0
172 	4.0
173 	4.0
174 	4.0
175 	4.0
176 	4.0
177 	4.0
178 	4.0
179 	4.0
180 	4.0
181 	4.0
182 	4.0
183 	4.0
184 	4.0
185 	4.0
186 	4.0
187 	4.0
188 	4.0
189 	4.0
190 	4.0
191 	4.0
192 	4.0
193 	4.0
194 	4.0
195 	4.0
196 	4.0
197 	4.0
198 	4.0
199 	3.0
200 	3.0
201 	3.0
202 	3.0
203 	3.0
204 	3.0
205 	3.0
206 	3.0
207 	3.0
208 	3.0
209 	3.0
210 	3.0
211 	3.0
212 	3.0
213 	3.0
214 	3.0
215 	3.0
216 	3.0
217 	3.0
218 	3.0
219 	3.0
220 	3.0
221 	3.0
222 	3.0
223 	3.0
224 	3.0
225 	3.0
226 	3.0
227 	3.0
228 	3.0
229 	3.0
230 	3.0
231 	3.0
232 	3.0
233 	3.0
234 	3.0
235 	3.0
236 	3.0
237 	3.0
238 	3.0
239 	3.0
